artifact_id,artifact_name,alignment_status,left_record,left_source,right_record,right_source,grade,same_name,left_dimensions,right_dimensions,exact_dimension_fields,dimension_conflicts,inscription_similarity,flags,current_alignment_evidence,expert_same_object,expert_note
,一天秋,ambiguous,Gq00036,Gq,Yjzq00035,Yjzq,A_strong,True,L=121cm; W=18.2cm; T=5.5cm,L=121cm; W=18.2cm; T=5.5cm,length | shoulder_width | thickness,,0.0,,exact normalized name,,
gq-object-8e3e641d67,中和,confirmed,Gq00031,Gq,Yjzq00031,Yjzq,A_strong,True,L=120.8cm; W=18.6cm; T=5.8cm; TW=14.2cm; TT=4.8cm,L=120.8cm; W=18.6cm; T=5.8cm,length | shoulder_width | thickness,,0.0,,"{'left_record': 'Gq00031', 'right_record': 'Yjzq00031', 'normalized_name': '中和', 'score': 0.61, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence']}",,
,写韵,candidate,Gq00076,Gq,Yjzq00086,Yjzq,A_strong,True,L=119.7cm; W=19.1cm; T=5.2cm,L=119.7cm; W=19.1cm; T=5.2cm,length | shoulder_width | thickness,,0.833,,exact normalized name | shared material evidence,,
gq-object-5c621975c4,凤鸣,confirmed,Gq00017,Gq,QNQY059,QNQY,A_strong,True,L=127.7cm; W=22.3cm; T=5.3cm,L=127.7cm; W=22.3cm; TW=15.4cm; TT=4.3cm,length | shoulder_width,,0.0,,"{'left_record': 'Gq00017', 'right_record': 'Yjzq00013', 'normalized_name': '凤鸣', 'score': 0.61, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Gq00017', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Yjzq00013', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']}",,
gq-object-5c621975c4,凤鸣,confirmed,Gq00017,Gq,Yjzq00013,Yjzq,A_strong,True,L=127.7cm; W=22.3cm; T=5.3cm,L=127.7cm; W=22.3cm; T=5.3cm,length | shoulder_width | thickness,,0.0,,"{'left_record': 'Gq00017', 'right_record': 'Yjzq00013', 'normalized_name': '凤鸣', 'score': 0.61, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Gq00017', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Yjzq00013', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']}",,
gq-object-5c621975c4,凤鸣,confirmed,Yjzq00013,Yjzq,QNQY059,QNQY,A_strong,True,L=127.7cm; W=22.3cm; T=5.3cm,L=127.7cm; W=22.3cm; TW=15.4cm; TT=4.3cm,length | shoulder_width,,0.727,,"{'left_record': 'Gq00017', 'right_record': 'Yjzq00013', 'normalized_name': '凤鸣', 'score': 0.61, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Gq00017', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Yjzq00013', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']}",,
,号钟,candidate,QNQY084,QNQY,CQL042,CQL,A_strong,True,L=119cm; E=100.3cm; HW=17.7cm; W=18.8cm; TW=13.3cm; T=4.2cm,L=119cm; W=18.8cm; T=4.2cm; E=100.3cm; HW=17.7cm; TW=13.3cm,effective_length | head_width | length | shoulder_width | tail_width | thickness,,0.0,,exact normalized name | shared form evidence,,
gq-object-ac90f78803,彩凤鸣岐,confirmed,QNQY029,QNQY,CQL009,CQL,A_strong,True,L=124.8cm; W=18.8cm; T=5.4cm; E=116.3cm; HW=16.3cm; TW=12.5cm,L=124.8cm; W=18.8cm; T=5.4cm,length | shoulder_width | thickness,,0.0,,"{'left_record': 'QNQY029', 'right_record': 'CQL009', 'normalized_name': '彩凤鸣岐', 'score': 0.69, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared form evidence', 'shared material evidence']}",,
,无名琴,candidate,Gq00016,Gq,Yjzq00011,Yjzq,A_strong,True,L=121cm; W=19.4cm; T=5cm,L=121cm; W=19.4cm; T=5cm,length | shoulder_width | thickness,,1.0,,both records are unnamed | shared dating evidence | shared form evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00057,Gq,Yjzq00063,Yjzq,A_strong,True,L=123.9cm; W=20.1cm; T=6.3cm,L=123.9cm; W=20.1cm; T=6.3cm,length | shoulder_width | thickness,,0.0,,both records are unnamed | shared ash evidence | shared dating evidence | shared duanwen evidence | shared form evidence | shared lacquer evidence | shared material evidence | shared material evidence | shared material evidence,,
