case_row_id,conflict_id,artifact_id,artifact_name,record_ids,source_count,sources,identity_grade,alignment_status,slot,slot_label,conflict_type,current_status,Gq_value,Yjzq_value,QNQY_value,CQL_value,text_support,image_support,subject_scope,audit_flags,review_readiness,machine_audit_note,expert_decision,expert_canonical_value,expert_rationale
GQ-016,conflict:gq-object-8e3e641d67:dating,gq-object-8e3e641d67,中和,Gq00031 | Yjzq00031,2,Gq | Yjzq,A_strong,confirmed,dating,年代,substantive_conflict,differ,明代(1368~1644年),崇祯九年(1636年),,,supported,non_diagnostic_for_slot,31_中和,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-021,conflict:gq-object-8e3e641d67:lacquer,gq-object-8e3e641d67,中和,Gq00031 | Yjzq00031,2,Gq | Yjzq,A_strong,confirmed,lacquer,漆色,substantive_conflict,differ,红漆 | 黑漆,黑漆,,,supported,attribute_linked_available,31_中和,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-022,conflict:gq-object-8e3e641d67:provenance,gq-object-8e3e641d67,中和,Gq00031 | Yjzq00031,2,Gq | Yjzq,A_strong,confirmed,provenance,递藏与来源,substantive_conflict,differ,重庆市博物馆,今河南卫辉,,,supported,non_diagnostic_for_slot,31_中和,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-020,conflict:gq-object-8e3e641d67:inscriber,gq-object-8e3e641d67,中和,Gq00031 | Yjzq00031,2,Gq | Yjzq,A_strong,confirmed,inscriber,题刻者,substantive_conflict,differ,敬一主人,歌一主人,,,supported,attribute_linked_available,31_琴底,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-003,conflict:gq-object-5c621975c4:duanwen,gq-object-5c621975c4,凤鸣,Gq00017 | Yjzq00013 | QNQY059,3,Gq | QNQY | Yjzq,A_strong,confirmed,duanwen,断纹,substantive_conflict,differ,牛毛断加流水断,流水断 | 牛毛断,牛毛断加流水断,,supported,attribute_linked_available,13_凤鸣 | 17_凤鸣 | 59_凤鸣,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-028,conflict:gq-object-637f5152f3:ash,gq-object-637f5152f3,无名琴 · Gq00041 / Yjzq00040,Gq00041 | Yjzq00040,2,Gq | Yjzq,A_strong,confirmed,ash,灰胎,substantive_conflict,differ,鹿角霜灰,距角胎,,,supported,attribute_linked_available,40_无名琴 | 41_无名琴,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-033,conflict:gq-object-637f5152f3:provenance,gq-object-637f5152f3,无名琴 · Gq00041 / Yjzq00040,Gq00041 | Yjzq00040,2,Gq | Yjzq,A_strong,confirmed,provenance,递藏与来源,partial_overlap,overlap,张孟虚 | 秦芃生,张孟虚 | 秦氏,,,supported,non_diagnostic_for_slot,40_无名琴 | 41_无名琴,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-029,conflict:gq-object-637f5152f3:component_material,gq-object-637f5152f3,无名琴 · Gq00041 / Yjzq00040,Gq00041 | Yjzq00040,2,Gq | Yjzq,A_strong,confirmed,component_material,配件材质,substantive_conflict,differ,檀木雁足 | 蚌徽 | 象牙轸,檀木,,,supported,attribute_linked_available,40_无名琴 | 41_无名琴,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-031,conflict:gq-object-637f5152f3:inscriber,gq-object-637f5152f3,无名琴 · Gq00041 / Yjzq00040,Gq00041 | Yjzq00040,2,Gq | Yjzq,A_strong,confirmed,inscriber,题刻者,partial_overlap,overlap,张敬修,张敬修 | 秦瓦生,,,supported,attribute_linked_available,40_龙池 | 41_龙池,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
GQ-068,conflict:gq-object-d22a6ae355:lacquer,gq-object-d22a6ae355,来凰,QNQY041 | CQL016,2,CQL | QNQY,A_strong,confirmed,lacquer,漆色,substantive_conflict,differ,,,黑漆发紫栗壳色,紫粟壳色,supported,attribute_linked_available,16_来凰 | 41_来凰,,P1_expert_review,数据链路完整，可进入领域专家核验,Unreviewed,,
