conflict_id,artifact_id,artifact_name,slot,slot_label,source_id,source_title,record_id,record_name,raw_values,normalized_values,subject_parts,text_support,value_support_detail,text_snippet,text_path,image_support,preferred_image,image_count,image_directory,audit_flags
conflict:gq-object-8e3e641d67:dating,gq-object-8e3e641d67,中和,dating,年代,Gq,古琴,Gq00031,中和,明代(1368~1644年),明代,31_中和,supported,明代(1368~1644年) [supported_normalized:0.95],11. 潞王 “中和” 琴 明 (1368～1644年) 列子式 通长120.8、隐间113、肩宽18.6、肩厚5.8、尾宽14.2、尾厚4.8厘米 20世纪50年代重庆市博物馆收藏 此琴木质面桐底梓。八宝灰胎，通体髹黑漆，磨损处可见下层为红漆，发小蛇腹和牛毛断。龙池为圆形，直径6.1厘米，圆形纳音；凤沼为方形，4.2×4.1厘米，纳音略作圆形。蚌徽，岳山、,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00031.txt,record_images_non_diagnostic,mingwen.jpg,12,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00031,
conflict:gq-object-8e3e641d67:dating,gq-object-8e3e641d67,中和,dating,年代,Yjzq,一见钟琴,Yjzq00031,中和,崇祯九年(1636年),崇祯九年,31_中和,supported,崇祯九年(1636年) [supported_exact:1],"""今所见路王琴都以""中和""为名,形制、款识、印章、书体都相同,且都是八宝灰胎,每琴皆有编号。 ""崇祯丙子""为崇祯九年(1636年)。路王为明穆宗隆庆五年(1571年)所封,封国在今河南卫辉,仅传两代。此路王为第二代,名朱常房,万历四十六年(1618年)袭封,路简王朱翊修之子,明穆宗朱载垕之孙,号敬一主人、敬一道人。他善书",/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00031.txt,record_images_non_diagnostic,qimian.jpg,5,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00031,
conflict:gq-object-8e3e641d67:form,gq-object-8e3e641d67,中和,form,形制,Gq,古琴,Gq00031,中和,列子式,列子式,31_中和,supported,列子式 [supported_exact:1],11. 潞王 “中和” 琴 明 (1368～1644年) 列子式 通长120.8、隐间113、肩宽18.6、肩厚5.8、尾宽14.2、尾厚4.8厘米 20世纪50年代重庆市博物馆收藏 此琴木质面桐底梓。八宝灰胎，通体髹黑漆，磨损处可见下层为红漆，发小蛇,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00031.txt,attribute_linked,qimian.jpg,12,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00031,
conflict:gq-object-8e3e641d67:form,gq-object-8e3e641d67,中和,form,形制,Yjzq,一见钟琴,Yjzq00031,中和,"圆形 | 方形 | 龙池圆形,凤沼方形","圆形 | 方形 | 龙池圆形,凤沼方形",31_中和 | 31_凤沼 | 31_龙池,supported,"圆形 [supported_exact:1] | 方形 [supported_exact:1] | 龙池圆形,凤沼方形 [supported_exact:1]","米、肩厚5.8厘米。 面桐底梓,通体黑黑漆,发小尾尾和牛毛断,八宝灰胎;蚌徽,檀木居尾,玉质雁足;龙池圆形,凤沼方形。 琴底项部楷书琴名""中和"",龙池下楷书五言诗一首:""月印长江水,风微滴露清。会到无声处,方知太古情。""落款为""歌一主人"",诗下一宽边大印,篆书""路国世传""。圆形龙池内环刻一周楷书:""大明",/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00031.txt,attribute_linked,qimian.jpg,5,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00031,mixed_subject_scope
conflict:gq-object-8e3e641d67:dating_assessment,gq-object-8e3e641d67,中和,dating_assessment,断代判断,Gq,古琴,Gq00031,中和,崇祯丙子岁(1636年),崇祯丙子岁,31_中和,not_found,崇祯丙子岁(1636年) [not_found:0.5],11. 潞王 “中和” 琴 明 (1368～1644年) 列子式 通长120.8、隐间113、肩宽18.6、肩厚5.8、尾宽14.2、尾厚4.8厘米 20世纪50年代重庆市博物馆收藏 此琴木质面桐底梓。八宝灰胎，通体髹黑漆，磨损处可见下层为红漆，发小蛇腹和牛毛断。龙池为圆形，直径6.1厘米，圆形纳音；凤沼为方形，4.2×4.1厘米，纳音略作圆形。蚌徽，岳山、,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00031.txt,record_images_non_diagnostic,mingwen.jpg,12,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00031,value_not_found_in_text
conflict:gq-object-8e3e641d67:dating_assessment,gq-object-8e3e641d67,中和,dating_assessment,断代判断,Yjzq,一见钟琴,Yjzq00031,中和,崇祯九年(1636年),崇祯九年,31_中和,supported,崇祯九年(1636年) [supported_exact:1],"""今所见路王琴都以""中和""为名,形制、款识、印章、书体都相同,且都是八宝灰胎,每琴皆有编号。 ""崇祯丙子""为崇祯九年(1636年)。路王为明穆宗隆庆五年(1571年)所封,封国在今河南卫辉,仅传两代。此路王为第二代,名朱常房,万历四十六年(1618年)袭封,路简王朱翊修之子,明穆宗朱载垕之孙,号敬一主人、敬一道人。他善书",/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00031.txt,record_images_non_diagnostic,qimian.jpg,5,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00031,
conflict:gq-object-8e3e641d67:duanwen,gq-object-8e3e641d67,中和,duanwen,断纹,Gq,古琴,Gq00031,中和,小蛇腹断、牛毛断,小蛇腹断、牛毛断,31_中和,not_found,小蛇腹断、牛毛断 [partial:0.8],11. 潞王 “中和” 琴 明 (1368～1644年) 列子式 通长120.8、隐间113、肩宽18.6、肩厚5.8、尾宽14.2、尾厚4.8厘米 20世纪50年代重庆市博物馆收藏 此琴木质面桐底梓。八宝灰胎，通体髹黑漆，磨损处可见下层为红漆，发小蛇腹和牛毛断。龙池为圆形，直径6.1厘米，圆形纳音；凤沼为方形，4.2×4.1厘米，纳音略作圆形。蚌徽，岳山、,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00031.txt,attribute_linked,qimian.jpg,12,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00031,
conflict:gq-object-8e3e641d67:duanwen,gq-object-8e3e641d67,中和,duanwen,断纹,Yjzq,一见钟琴,Yjzq00031,中和,小尾尾和牛毛断,小尾尾和牛毛断,31_中和,supported,小尾尾和牛毛断 [supported_exact:1],"琴名""中和"",通长120.8厘米、肩宽18.6厘米、肩厚5.8厘米。 面桐底梓,通体黑黑漆,发小尾尾和牛毛断,八宝灰胎;蚌徽,檀木居尾,玉质雁足;龙池圆形,凤沼方形。 琴底项部楷书琴名""中和"",龙池下楷书五言诗一首:""月印长江水,风微滴露清。会到无声处,方知太古情。""落款为""歌一主人"",诗下一宽边大印,篆",/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00031.txt,attribute_linked,qimian.jpg,5,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00031,
conflict:gq-object-8e3e641d67:lacquer,gq-object-8e3e641d67,中和,lacquer,漆色,Gq,古琴,Gq00031,中和,红漆 | 黑漆,红漆 | 黑漆,31_中和,supported,红漆 [supported_exact:1] | 黑漆 [supported_exact:1],宽14.2、尾厚4.8厘米 20世纪50年代重庆市博物馆收藏 此琴木质面桐底梓。八宝灰胎，通体髹黑漆，磨损处可见下层为红漆，发小蛇腹和牛毛断。龙池为圆形，直径6.1厘米，圆形纳音；凤沼为方形，4.2×4.1厘米，纳音略作圆形。蚌徽，岳山、龙龈、焦尾下贴均为檀木，玉质雁足。 琴底项部楷书琴名“中和”，龙池,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00031.txt,attribute_linked,qimian.jpg,12,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00031,
conflict:gq-object-8e3e641d67:lacquer,gq-object-8e3e641d67,中和,lacquer,漆色,Yjzq,一见钟琴,Yjzq00031,中和,黑漆,黑漆,31_中和,supported,黑漆 [supported_exact:1],"琴名""中和"",通长120.8厘米、肩宽18.6厘米、肩厚5.8厘米。 面桐底梓,通体黑黑漆,发小尾尾和牛毛断,八宝灰胎;蚌徽,檀木居尾,玉质雁足;龙池圆形,凤沼方形。 琴底项部楷书琴名""中和"",龙池下楷书五言诗一首:""月印长江水,风微滴露清。会到无声处,方知太古情。""落款为""歌一主人"",",/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00031.txt,attribute_linked,qimian.jpg,5,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00031,
conflict:gq-object-8e3e641d67:provenance,gq-object-8e3e641d67,中和,provenance,递藏与来源,Gq,古琴,Gq00031,中和,重庆市博物馆,重庆市博物馆,31_中和,supported,重庆市博物馆 [supported_exact:1],4年) 列子式 通长120.8、隐间113、肩宽18.6、肩厚5.8、尾宽14.2、尾厚4.8厘米 20世纪50年代重庆市博物馆收藏 此琴木质面桐底梓。八宝灰胎，通体髹黑漆，磨损处可见下层为红漆，发小蛇腹和牛毛断。龙池为圆形，直径6.1厘米，圆形纳音；凤沼为方形，4.2×4.1厘米，纳音略作圆形。蚌徽，岳山、龙,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00031.txt,record_images_non_diagnostic,mingwen.jpg,12,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00031,
conflict:gq-object-8e3e641d67:provenance,gq-object-8e3e641d67,中和,provenance,递藏与来源,Yjzq,一见钟琴,Yjzq00031,中和,今河南卫辉,今河南卫辉,31_中和,supported,今河南卫辉 [supported_exact:1],"宝灰胎,每琴皆有编号。 ""崇祯丙子""为崇祯九年(1636年)。路王为明穆宗隆庆五年(1571年)所封,封国在今河南卫辉,仅传两代。此路王为第二代,名朱常房,万历四十六年(1618年)袭封,路简王朱翊修之子,明穆宗朱载垕之孙,号敬一主人、敬一道人。他善书画,通音律,著有《古首正宗》一书,书中记载了该形制的涵义:",/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00031.txt,record_images_non_diagnostic,qimian.jpg,5,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00031,
conflict:gq-object-8e3e641d67:component_material,gq-object-8e3e641d67,中和,component_material,配件材质,Gq,古琴,Gq00031,中和,"檀木岳山、龙龈、焦尾下贴,玉质雁足","檀木岳山、龙龈、焦尾下贴,玉质雁足",31_中和,not_found,"檀木岳山、龙龈、焦尾下贴,玉质雁足 [partial:0.714]",11. 潞王 “中和” 琴 明 (1368～1644年) 列子式 通长120.8、隐间113、肩宽18.6、肩厚5.8、尾宽14.2、尾厚4.8厘米 20世纪50年代重庆市博物馆收藏 此琴木质面桐底梓。八宝灰胎，通体髹黑漆，磨损处可见下层为红漆，发小蛇腹和牛毛断。龙池为圆形，直径6.1厘米，圆形纳音；凤沼为方形，4.2×4.1厘米，纳音略作圆形。蚌徽，岳山、,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00031.txt,attribute_linked,qimian.jpg,12,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00031,
